Transformation,Test R² (Transformed),Test MSE (Transformed),Test RMSE (Transformed),Test MAE (Transformed),Test MSLE (Transformed),Test R² (Original),Test MSE (Original),Test RMSE (Original),Test MAE (Original),Test MSLE (Original)
ORIGINAL,0.6775168411894106,10211.561872817214,101.05227297204756,74.04698477838963,1.2142101023698042,0.6775168411894106,10211.561872817214,101.05227297204756,74.04698477838963,
SQRT,0.7766272925652483,9.745915792818112,3.1218449341404053,2.4136898940523346,0.12065618486433485,0.7260264474645641,8675.485236344915,93.14228489974312,61.90321002413308,0.512093932513495
CBRT,0.8021756984026982,0.7927964951106853,0.8903912034104365,0.6908682172136172,0.031967201527836796,0.7281000449205145,8609.823919956016,92.78913686394553,60.852496075772954,0.4192138445962216
LOG,0.8187976627629596,0.3567551920610296,0.5972898727259902,0.44550349264855615,0.01980124148445799,0.7071389280783423,9273.566306834928,96.29935776958706,62.00250013286947,0.3567551920610296
